ordre identifiant nombre_occurrence taux_recouvrement recouvrement certificat
3 2 5 1.5 '00000220012120121010 '0000000000000020000000000000002000000000000000c0
3 1 14 2.210526315789474 '11113443334321211130 '000000000000006000000000000000800000000000000080
3 0 28 4.2 '45545674444453353342 '000000000000004000000000000000a00000000000000040
4 7 2 1.6 '01100020020000000020 '0000000000000040000000000000009000000000000000100000000000000060
4 8 2 1.6 '00001020021000000020 '00000000000000100000000000000030000000000000004000000000000000c0
4 10 4 2.0 '00000430004111100010 '0000000000000030000000000000002000000000000000c00000000000000080
4 3 11 2.4444444444444446 '22333442213331232100 '0000000000000020000000000000001000000000000000900000000000000060
4 9 11 2.75 '00003332234252342222 '00000000000000500000000000000080000000000000001000000000000000a0
4 5 15 3.1578947368421053 '24423562226351332140 '000000000000004000000000000000b000000000000000400000000000000040
4 4 24 4.8 '45546896776642332261 '0000000000000060000000000000009000000000000000800000000000000040
4 6 27 5.4 '66565983437593695342 '000000000000004000000000000000a000000000000000500000000000000020
5 34 2 1.1111111111111112 '01100110002110100010 '000000000000004000000000000000b8000000000000004000000000000000400000000000000040
5 43 2 1.25 '00001010011020121000 '000000000000004800000000000000800000000000000008000000000000000800000000000000b0
5 22 2 1.4285714285714286 '10011020021000000020 '000000000000004000000000000000a0000000000000004800000000000000080000000000000030
5 29 2 1.4285714285714286 '01101020021000000020 '00000000000000400000000000000088000000000000001800000000000000200000000000000060
5 31 2 1.4285714285714286 '01101020021000000020 '000000000000004000000000000000a8000000000000004000000000000000080000000000000050
5 33 2 1.6666666666666667 '01100020020000000022 '00000000000000400000000000000090000000000000001000000000000000680000000000000010
5 41 2 1.6666666666666667 '00001020021000000022 '000000000000000800000000000000280000000000000040000000000000000800000000000000d0
5 54 2 1.6666666666666667 '00000020020020110020 '00000000000000180000000000000008000000000000001000000000000000a000000000000000c0
5 48 3 1.5 '00000320003111010111 '0000000000000028000000000000002000000000000000c000000000000000080000000000000090
5 46 3 2.142857142857143 '00000330003311000010 '00000000000000180000000000000020000000000000005000000000000000a00000000000000080
5 56 3 2.142857142857143 '00000030003030110031 '00000000000000580000000000000080000000000000001000000000000000a00000000000000080
5 17 4 1.4285714285714286 '11111320102120121000 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
5 30 4 1.4285714285714286 '01110231112120110020 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 27 5 1.9230769230769231 '21021220003230321010 '000000000000004000000000000000a0000000000000005800000000000000200000000000000020
5 42 5 2.0833333333333335 '00001211112150352000 '000000000000004800000000000000800000000000000018000000000000002000000000000000a0
5 38 7 2.5 '00004233321332142200 '00000000000000100000000000000028000000000000004000000000000000880000000000000050
5 44 7 2.5 '00003202230223243331 '00000000000000480000000000000090000000000000001000000000000000600000000000000080
5 23 8 2.5 '33114242200242242200 '00000000000000400000000000000088000000000000001000000000000000280000000000000050
5 16 8 2.857142857142857 '11333550104240242000 '00000000000000080000000000000010000000000000001000000000000000680000000000000090
5 20 9 2.3684210526315788 '23313432444311211120 '00000000000000600000000000000098000000000000008000000000000000400000000000000040
5 21 9 2.3684210526315788 '21243435234311211120 '00000000000000600000000000000090000000000000008000000000000000480000000000000010
5 15 10 2.6315789473684212 '44552432224311311120 '00000000000000100000000000000020000000000000005800000000000000a00000000000000020
5 25 10 2.6315789473684212 '33312632224313322230 '000000000000004000000000000000a8000000000000005000000000000000200000000000000040
5 24 11 2.75 '34313332234252342222 '000000000000004000000000000000b0000000000000004000000000000000480000000000000010
5 35 11 3.6666666666666665 '03241690006361432041 '000000000000004000000000000000b0000000000000004800000000000000400000000000000020
5 14 12 3.75 '44664654345320110020 '00000000000000080000000000000030000000000000004000000000000000480000000000000090
5 19 17 4.25 '46424792655552253252 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
5 18 22 5.5 '4664710107888642333272 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 26 23 5.75 '456641192431051238106232 '000000000000004000000000000000a0000000000000005000000000000000280000000000000010
6 62 2 1.0 '11111111111100000000 '0000000000000030000000000000000c0000000000000088000000000000008400000000000000600000000000000050
6 59 2 1.0909090909090908 '11000210101110111000 '000000000000000800000000000000040000000000000018000000000000002400000000000000a00000000000000050
6 135 2 1.0909090909090908 '01100120111010011010 '000000000000006000000000000000880000000000000084000000000000000c00000000000000500000000000000030
6 145 2 1.0909090909090908 '00111120001110111000 '000000000000000800000000000000040000000000000008000000000000000400000000000000a40000000000000058
6 104 2 1.2 '11001010011020121000 '000000000000004000000000000000a40000000000000040000000000000000400000000000000040000000000000058
6 107 2 1.2 '11001010100120121000 '000000000000006000000000000000840000000000000080000000000000000400000000000000040000000000000058
6 163 2 1.2 '00001211002111010100 '000000000000000400000000000000100000000000000018000000000000006000000000000000240000000000000088
6 57 2 1.3333333333333333 '11111020021000000020 '000000000000000800000000000000100000000000000014000000000000006000000000000000840000000000000028
6 67 2 1.3333333333333333 '11111020021000000020 '000000000000000800000000000000100000000000000004000000000000004c00000000000000900000000000000030
6 93 2 1.3333333333333333 '10011021021100000020 '000000000000006000000000000000880000000000000080000000000000000400000000000000440000000000000018
6 102 2 1.3333333333333333 '10101120000020110020 '000000000000004000000000000000840000000000000018000000000000002400000000000000200000000000000050
6 131 2 1.3333333333333333 '01100121120100000020 '000000000000006000000000000000880000000000000084000000000000000400000000000000400000000000000030
6 133 2 1.3333333333333333 '01101120121000000020 '0000000000000060000000000000008c0000000000000080000000000000000400000000000000400000000000000050
6 142 2 1.3333333333333333 '01010120001020110020 '000000000000004000000000000000b00000000000000040000000000000004c00000000000000100000000000000010
6 97 2 1.5 '10011020021000000022 '000000000000004000000000000000a00000000000000048000000000000000800000000000000340000000000000008
6 110 2 1.5 '10010210002201200000 '000000000000004000000000000000a00000000000000054000000000000002800000000000000100000000000000020
6 123 2 1.5 '01101020021000000022 '000000000000004000000000000000880000000000000018000000000000002000000000000000640000000000000008
6 124 2 1.5 '02001120000020110020 '0000000000000040000000000000008c0000000000000010000000000000002800000000000000500000000000000040
6 138 2 1.5 '01101020021000000022 '000000000000004000000000000000a80000000000000040000000000000000800000000000000540000000000000008
6 177 2 1.5 '00001010011020222000 '00000000000000440000000000000080000000000000000c0000000000000004000000000000002000000000000000b0
6 73 2 1.7142857142857142 '10210200002200200000 '000000000000000800000000000000100000000000000010000000000000006c00000000000000900000000000000010
6 91 2 1.7142857142857142 '10102200000020220000 '000000000000004000000000000000840000000000000010000000000000002800000000000000140000000000000048
