ordre identifiant nombre_occurrence taux_recouvrement recouvrement certificat
3 0 28 4.2 '45545674444453353342 '000000000000004000000000000000a00000000000000040
3 1 14 2.210526315789474 '11113443334321211130 '000000000000006000000000000000800000000000000080
3 2 5 1.5 '00000220012120121010 '0000000000000020000000000000002000000000000000c0
4 3 11 2.4444444444444446 '22333442213331232100 '0000000000000020000000000000001000000000000000900000000000000060
4 4 24 4.8 '45546896776642332261 '0000000000000060000000000000009000000000000000800000000000000040
4 5 15 3.1578947368421053 '24423562226351332140 '000000000000004000000000000000b000000000000000400000000000000040
4 6 27 5.4 '66565983437593695342 '000000000000004000000000000000a000000000000000500000000000000020
4 7 2 1.6 '01100020020000000020 '0000000000000040000000000000009000000000000000100000000000000060
4 8 2 1.6 '00001020021000000020 '00000000000000100000000000000030000000000000004000000000000000c0
4 9 11 2.75 '00003332234252342222 '00000000000000500000000000000080000000000000001000000000000000a0
4 10 4 2.0 '00000430004111100010 '0000000000000030000000000000002000000000000000c00000000000000080
5 14 12 3.75 '44664654345320110020 '00000000000000080000000000000030000000000000004000000000000000480000000000000090
5 15 10 2.6315789473684212 '44552432224311311120 '00000000000000100000000000000020000000000000005800000000000000a00000000000000020
5 16 8 2.857142857142857 '11333550104240242000 '00000000000000080000000000000010000000000000001000000000000000680000000000000090
5 17 4 1.4285714285714286 '11111320102120121000 '00000000000000100000000000000008000000000000001800000000000000a00000000000000060
5 18 22 5.5 '4664710107888642333272 '00000000000000600000000000000090000000000000008800000000000000400000000000000020
5 19 17 4.25 '46424792655552253252 '00000000000000600000000000000088000000000000008000000000000000080000000000000050
5 20 9 2.3684210526315788 '23313432444311211120 '00000000000000600000000000000098000000000000008000000000000000400000000000000040
5 21 9 2.3684210526315788 '21243435234311211120 '00000000000000600000000000000090000000000000008000000000000000480000000000000010
5 22 2 1.4285714285714286 '10011020021000000020 '000000000000004000000000000000a0000000000000004800000000000000080000000000000030
5 23 8 2.5 '33114242200242242200 '00000000000000400000000000000088000000000000001000000000000000280000000000000050
5 24 11 2.75 '34313332234252342222 '000000000000004000000000000000b0000000000000004000000000000000480000000000000010
5 25 10 2.6315789473684212 '33312632224313322230 '000000000000004000000000000000a8000000000000005000000000000000200000000000000040
5 26 23 5.75 '456641192431051238106232 '000000000000004000000000000000a0000000000000005000000000000000280000000000000010
5 27 5 1.9230769230769231 '21021220003230321010 '000000000000004000000000000000a0000000000000005800000000000000200000000000000020
5 29 2 1.4285714285714286 '01101020021000000020 '00000000000000400000000000000088000000000000001800000000000000200000000000000060
5 30 4 1.4285714285714286 '01110231112120110020 '00000000000000600000000000000080000000000000009800000000000000200000000000000020
5 31 2 1.4285714285714286 '01101020021000000020 '000000000000004000000000000000a8000000000000004000000000000000080000000000000050
